trade_date,portfolio_return,cumulative_return
2025-10-13,0.0,0.0
2025-10-14,0.00010754892461441851,0.00010754892461450893
2025-10-15,0.015447832881693737,0.015557043204122323
2025-10-16,0.00744633884265728,0.023119225061867477
2025-10-17,-0.003279871748715185,0.019763525220019673
2025-10-20,-0.019005780845477264,0.00038212314547680926
2025-10-21,-0.015457115075006972,-0.01508089845096272
2025-10-22,-0.009814000133804643,-0.024746894645351736
2025-10-23,0.03010884533514179,0.004616850266387917
2025-10-24,0.021856008153118854,0.02657376433657066
2025-10-27,0.006412321029525219,0.033156484873984926
2025-10-28,0.005471634058287487,0.03880953908416185
2025-10-29,0.006310663527307735,0.04536511655427966
2025-10-30,0.004100745230706417,0.04965189257033664
2025-10-31,-0.0004962550065752919,0.04913099756348749
2025-11-03,-0.00236089138110669,0.046654113233687955
2025-11-04,0.007632355794730172,0.05464254981990524
2025-11-05,0.0030237897224144553,0.05783156712287152
2025-11-06,-0.0002909196622721405,0.05752382312062343
2025-11-07,0.0007669337116004857,0.05833487379139535
2025-11-10,0.004649265289822533,0.06325535338512234
2025-11-11,0.0030038078346959576,0.06644916814590296
2025-11-12,-0.010216344406819913,0.05555395615175773
2025-11-13,-0.012604523848335701,0.042249201138237824
2025-11-14,-0.00044510954748637867,0.04178528606795129
2025-11-17,0.0043398031446235715,0.04630642912845162
2025-11-18,-0.003366719887994259,0.04278380846456864
2025-11-19,0.007664420098759043,0.05077614164482491
2025-11-20,-0.007406503541508717,0.04299356443039959
2025-11-21,-0.0008776550648656287,0.04207817584595497
2025-11-24,0.006205145827344939,0.0485444228905727
2025-11-25,0.008597055084492239,0.05755881705270016
2025-11-26,0.009164764583116478,0.06725109464378742
2025-11-28,-0.003157645399480701,0.06388109413469478
2025-12-01,-0.0038195453228740926,0.05981755207749839
2025-12-02,0.005956176514412487,0.06613001249074446
2025-12-03,0.003364365869216631,0.0697168639169159
2025-12-04,-0.0007797821481345777,0.06888271780287503
2025-12-05,0.012112433699305595,0.08182948885459607
2025-12-08,0.019554559227302933,0.10298418766824624
2025-12-09,0.004837287233408933,0.10831963899790598
2025-12-10,0.019397925428282187,0.12981874070588795
2025-12-11,0.023914941718770233,0.1568382900426437
2025-12-12,-0.017600921658649373,0.13647686992787733
2025-12-15,0.0023259809409417105,0.1391202934671507
2025-12-16,-0.004787572604107927,0.13366667235736407
2025-12-17,-0.01228373127921194,0.1197410155939278
2025-12-18,0.008632897119068903,0.12940762458155208
2025-12-19,0.021583614008535937,0.15378432280881782
2025-12-22,0.006024530363859027,0.16073533149492403
2025-12-23,-0.0053355271180853675,0.154542196656813
2025-12-24,0.003113418614683455,0.1581367698233218
2025-12-26,0.003410214802465438,0.16208626497905287
2025-12-29,-0.011683629280075478,0.14850887986757
2025-12-30,-0.002093440922711613,0.14610454437835751
2025-12-31,-0.002684930276288049,0.14302733358736486
2026-01-02,-0.003768764759635216,0.1387195324532411
2026-01-05,0.004534532952633433,0.1438830936969575
2026-01-06,0.02349812069430061,0.17076219669281856
2026-01-07,0.004589083310411479,0.17613492195012226
2026-01-08,-0.016235908009440303,0.15703930355064988
2026-01-09,-0.01834976508975242,0.13580790413088484
2026-01-12,0.01179163185830082,0.1492009327981445
2026-01-13,0.010130871127596846,0.16084333934803663
2026-01-14,0.016251053917098475,0.17970826704508625
2026-01-15,-0.012880182674612774,0.16451340906279466
2026-01-16,0.028550791570151644,0.19776118868559345
2026-01-20,0.01070471073318487,0.21058287573790824
2026-01-21,0.003388990942787858,0.21468553013927805
2026-01-22,0.004400282154586387,0.22003048920098411
2026-01-23,0.0026373826886960934,0.2232481764928842
2026-01-26,-0.0002555006406910939,0.22293563580006603
2026-01-27,-0.017056223950229644,0.20207697171914352
2026-01-28,-0.011590120538242932,0.1881447547206727
2026-01-29,0.005470768349640267,0.19464481943958956
2026-01-30,0.007000448185074408,0.2030078685976442
2026-02-02,-0.012987368261037482,0.18738396238724064
2026-02-03,0.005986101243330694,0.19449176300079785
2026-02-04,0.03943148645974394,0.24159234877983948
2026-02-05,-0.0007328374667374439,0.24068246338823895
2026-02-06,-0.022951538837356875,0.2122068916449562
2026-02-09,0.005862153691763685,0.2193130347499943
2026-02-10,0.009160568458365428,0.23048263527699886
2026-02-11,0.007682554748027872,0.23993588548901212
2026-02-12,0.0007257059055486696,0.24083571428361328
2026-02-13,-0.0034981056730415527,0.2364951398321653
